Row #,Time,Latitude,Longitude,Altitude,Number of Satellites,Start time,Distance,Azimuth,Elevation angle,Pressure,Temperature,Humidity,Battery voltage,T_int,T_pr,T_u,Length of XDATA packet,XDATA#,12#,23#,34#,45#,123#,234#,345#,1234#,2345#,12345#
94,'2016-01-24T14:46:22+08:00',25.01457405090332,121.53910827636719,27,9,6:48:0,0.05031158745557902,127.95089280662937,18.669819268263588,1032.94,4.84,71.38,5.0,30.27,32.08,4.84,50,2995,0,0,0,0,0,0,0,0,0,0
95,'2016-01-24T14:46:22+08:00',25.01457405090332,121.53910827636719,28,9,6:48:2,0.05031158745557902,127.95089280662937,19.685709166464456,1032.97,5.04,71.31,5.0,30.27,32.09,5.04,50,2996,0,0,0,0,0,0,1,0,0,0
96,'2016-01-24T14:46:23+08:00',25.014572143554688,121.53910827636719,28,9,6:48:3,0.0504424419588581,128.14106535297162,19.638553002966095,1033.03,5.05,71.29,5.0,30.26,32.09,5.05,50,2997,0,0,0,0,0,0,0,0,0,0
97,'2016-01-24T14:46:23+08:00',25.014572143554688,121.53910827636719,28,9,6:48:3,0.0504424419588581,128.14106535297162,19.638553002966095,1032.99,5.01,70.63,5.0,30.26,32.08,5.01,50,2998,0,0,0,0,0,0,0,0,0,0
98,'2016-01-24T14:46:24+08:00',25.014572143554688,121.53910827636719,29,9,6:48:4,0.0504424419588581,128.14106535297162,20.639732629385474,1033.0,5.12,70.67,5.0,30.25,32.08,5.12,50,2999,0,0,0,0,0,0,0,0,0,0
99,'2016-01-24T14:46:24+08:00',25.014572143554688,121.53910827636719,30,9,6:48:5,0.0504424419588581,128.14106535297162,21.627905583469047,1032.94,4.9,70.97,5.0,30.24,32.08,4.9,50,3000,0,0,0,0,0,0,0,0,0,0
100,'2016-01-24T14:46:24+08:00',25.014570236206055,121.53910827636719,30,9,6:48:6,0.05057384929025112,128.330251713111,21.5768794307116,1032.92,4.85,71.53,5.0,30.27,32.07,4.85,50,3001,0,0,0,0,0,1,0,0,1,0
101,'2016-01-24T14:46:25+08:00',25.014568328857422,121.53910827636719,30,9,6:48:7,0.05070580515212231,128.51845544620465,21.525870503319293,1032.87,5.05,71.64,5.0,30.25,32.06,5.05,50,3002,0,0,0,0,0,0,0,0,0,0
102,'2016-01-24T14:46:25+08:00',25.01456642150879,121.53910064697266,30,9,6:48:8,0.05024001552279292,129.2545462188195,21.706959896023058,1032.84,5.1,72.51,5.0,30.26,32.06,5.1,50,3003,0,0,0,0,0,0,0,0,0,0
103,'2016-01-24T14:46:26+08:00',25.014564514160156,121.53910064697266,31,9,6:48:9,0.050374635766343455,129.441546522288,22.63010647359621,1032.86,5.16,72.91,5.0,30.25,32.06,5.16,50,3004,0,1,0,0,2,0,0,0,0,0
104,'2016-01-24T14:46:26+08:00',25.014562606811523,121.53910064697266,32,9,6:48:10,0.05050978974654057,129.62754804761275,23.53597301419614,1032.83,5.05,73.19,5.0,30.26,32.06,5.05,50,3005,0,0,0,0,0,0,0,0,0,0
105,'2016-01-24T14:46:27+08:00',25.014558792114258,121.53910064697266,33,9,6:48:12,0.05078168185530943,129.99657117099756,24.36668622053713,1032.8,5.07,73.73,5.0,30.25,32.07,5.07,50,3006,1,0,0,0,0,0,0,1,0,0
106,'2016-01-24T14:46:27+08:00',25.014558792114258,121.53910064697266,34,9,6:48:13,0.05078168185530943,129.99657117099756,25.295950383571775,1032.88,5.12,74.07,5.0,30.26,32.06,5.12,50,3007,0,0,0,1,0,0,0,0,0,0
